subject_id,example_id,start_ms,phoneme,total_duration_s,mean_rms,f0_mean_voiced_hz,voiced_ratio,voicing_decision,total_sound_frames,unvoiced_frames_count,full_filename
1,7,14,ず,0.342,0.038664352148771286,140.4436727996872,0.9285714285714286,Voiced,28,2,S01_007_14_ず.wav
1,10,1,ず,0.268,0.011022712104022503,0.0,0.0,Unvoiced,3,3,S01_010_01_ず.wav
2,2,8,ず,0.275,0.013253551907837391,0.0,0.0,Unvoiced,3,3,S02_002_08_ず.wav
2,7,14,ず,0.28,0.04986631125211716,106.69075672974952,1.0,Voiced,14,0,S02_007_14_ず.wav
2,10,1,ず,0.212,0.0,0.0,0.0,Unvoiced,0,0,S02_010_01_ず.wav
3,2,8,ず,0.316984126984127,0.038314592093229294,109.03082828635281,1.0,Voiced,16,0,S03_002_08_ず.wav
3,7,14,ず,0.28399092970521544,0.04583330824971199,112.61577135665031,0.6,Voiced,15,6,S03_007_14_ず.wav
3,10,1,ず,0.24498866213151926,0.04146955907344818,107.97568537885981,0.9411764705882353,Voiced,17,1,S03_010_01_ず.wav
4,2,8,ず,0.322,0.05768948420882225,132.827706377242,0.7096774193548387,Voiced,31,9,S04_002_08_ず.wav
4,7,14,ず,0.32,0.050456419587135315,85.91645686003018,0.8709677419354839,Voiced,31,4,S04_007_14_ず.wav
4,10,1,ず,0.251,0.0224204882979393,83.15561494098809,1.0,Voiced,15,0,S04_010_01_ず.wav
